title,text
虎哥的开心冷幽默,1、小时侯，虎哥和虎弟在玩老虎、杠子、鸡的游戏。   虎哥说：“老虎！”   虎弟说：“鸡！”   老虎吃鸡，虎弟输了，气得直哭。
超搞笑的动物车尾标语。,1、鸭子：把我撵得呱呱叫，您和二郎神肯定有亲戚。   2、兔子：嘴巴都被刮成三瓣嘴了，您还想把我撞脱肛吗？   3、萤火虫：自带照明设备
猫和老鼠幽默笑话。,1、被猫赶进死胡同的老鼠急中生智，面对着猫突然摇摇晃晃，口中念道：“哎哟！疼死我啦！”   猫对老鼠的举动非常惊讶，便问：“怎么了？
国庆长假里，动物的那点小心思。,1、蚯蚓：过了大半年了，搞的都是小隧道工程，但愿国庆节后能像穿山甲大哥一样，接到一些大工程。   2、河马：我就纳闷儿了，流感来了人
"‘人言可畏’,动物表示很生气",1、狗说：“人说话没根据、胡言乱语却说放狗屁。”   2、猪说：“人长的难看却说长得跟猪一样。”   3、猫说：“人藏诡密却叫猫腻。”
很有冷笑果的搞笑动物,1、屎壳螂一家正在饿肚子，小屎壳螂问妈妈：“我听说人类有个本事叫‘画饼充饥’，我们也能吗？”   屎壳螂妈妈无奈地说：“那你就‘画杯
小动物们的经典对白,金龟子看到屎壳朗在草地上打滚，崇拜地说：“你一定是国脚吧”   螳螂见在夜空中到处乱飞的萤火虫，无奈地说：“这群追星族，真拿他们没
好有追求的小动物,1、看到最新的竖版地图，蜗牛道：“爸爸，我长大了，要当兵，为祖国巡逻边疆! ”   老蜗牛听了，点点头，问：“你说的是在地图上巡逻吗？
动物寓言看社会人生,1、狐狸钻进鸡舍里，一口气吃下了三只鸡，撑得不行了才住嘴。当它想从进来时的墙洞里溜出去时，被墙洞给卡住了。望着越来越近的巡夜狗，狐
动物的俏皮功夫了不得。,1、牛：身上真痒痒得难受，好久没人来吹牛皮了。   2、屎壳郎：思想有多圆，我就给它滚多圆。事业有多远，我就给它滚多远。   3、小白兔
content,title
1、小时侯，虎哥和虎弟在玩老虎、杠子、鸡的游戏。   虎哥说：“老虎！”   虎弟说：“鸡！”   老虎吃鸡，虎弟输了，气得直哭。,虎哥的开心冷幽默
1、鸭子：把我撵得呱呱叫，您和二郎神肯定有亲戚。   2、兔子：嘴巴都被刮成三瓣嘴了，您还想把我撞脱肛吗？   3、萤火虫：自带照明设备,超搞笑的动物车尾标语。
1、被猫赶进死胡同的老鼠急中生智，面对着猫突然摇摇晃晃，口中念道：“哎哟！疼死我啦！”   猫对老鼠的举动非常惊讶，便问：“怎么了？,猫和老鼠幽默笑话。
1、蚯蚓：过了大半年了，搞的都是小隧道工程，但愿国庆节后能像穿山甲大哥一样，接到一些大工程。   2、河马：我就纳闷儿了，流感来了人,国庆长假里，动物的那点小心思。
1、狗说：“人说话没根据、胡言乱语却说放狗屁。”   2、猪说：“人长的难看却说长得跟猪一样。”   3、猫说：“人藏诡密却叫猫腻。”,"‘人言可畏’,动物表示很生气"
1、屎壳螂一家正在饿肚子，小屎壳螂问妈妈：“我听说人类有个本事叫‘画饼充饥’，我们也能吗？”   屎壳螂妈妈无奈地说：“那你就‘画杯,很有冷笑果的搞笑动物
金龟子看到屎壳朗在草地上打滚，崇拜地说：“你一定是国脚吧”   螳螂见在夜空中到处乱飞的萤火虫，无奈地说：“这群追星族，真拿他们没,小动物们的经典对白
1、看到最新的竖版地图，蜗牛道：“爸爸，我长大了，要当兵，为祖国巡逻边疆! ”   老蜗牛听了，点点头，问：“你说的是在地图上巡逻吗？,好有追求的小动物
1、狐狸钻进鸡舍里，一口气吃下了三只鸡，撑得不行了才住嘴。当它想从进来时的墙洞里溜出去时，被墙洞给卡住了。望着越来越近的巡夜狗，狐,动物寓言看社会人生
1、牛：身上真痒痒得难受，好久没人来吹牛皮了。   2、屎壳郎：思想有多圆，我就给它滚多圆。事业有多远，我就给它滚多远。   3、小白兔,动物的俏皮功夫了不得。
