title,text
搞笑动物一溜串,1、狐狸羡慕家畜们个个吃喝不愁，就去求职。   农人说：“凡是到我这里打工的动物，都能胜任一项工作。比如，牛力大，能耕田；狗警觉，能
让人深省的动物小寓言,1、一猴子对主人说：“我不想当猴子了，想当人。”   主人说：“你要当人，须把全身的毛拔了。”   猴子说：“行。”   主人拿镊子来
动物爆笑冷幽默,"1、一只蚂蚁和树上的乌鸦吵架!   蚂蚁:你有种就给我下来!   乌鸦:那你有种就给我上来!   蚂蚁:好!你给我等着, 有你好看!   乌鸦:你想怎"
动物身上学职场原则,1、母鸡：闷头工作是件好事，但在领导经常失察的情况下，不妨学习一下母鸡，在领导的眼皮底下大声喊上几嗓：“咯咯嗒，咯咯嗒，领导啊，快
金丝雀相亲:我一定要嫁有房的~,1、蜗牛：纯天然材料制造，无公害无污染，保证住进来以后身心健康生活愉快。   金丝雀：就是你身上那个破壳壳？我才不要住。   2、蜜蜂
搞笑的动物趣侃,1、喜鹊说苍鹰：自高自大，性格孤傲，群众基础差。   苍鹰说喜鹊：说话不讲原则，见啥都说好，处处做老好人。   2、乌鸦说麻雀：爱闲言
婚姻大事，动物心里都有小算盘,1、正在走红的长腿模特单顶鹤，嫁给了钻石王老王金钱豹，为的是能够当选今年的环球小姐。   2、四处流浪的狗，向圈中的猪求婚，为的是能
爆笑的动物上饭店,1、屎壳郎：不是我自夸，你们店里的饭真的没有我自己滚的粪球好吃。   2、河马：服务员，告诉厨房的师傅，做菜的时候务将菜切得大一点，
"动物爱上冷,为笑不怕冻",1、金鱼对渔夫说：“你放了我吧，放了我我可以实现你三个愿望。”   “如果我吃了你呢？”   “吃了我就厉害了，不仅营养丰富，你还会
"蚂蚁,大象,老鼠和公牛的笑话",1、蚂蚁嫁给了大象，夫妻俩非常恩爱。   大象食量很大。为了填饱大象的肚子，蚂蚁每天早出晚归地寻找食物，非常辛苦。   回到家后，蚂
爆冷的动物和嫩馍,1、一只狗被人欺负看到一只狼路过就跑过来叫“爸爸”，狼说，你认错人了吧，我是狼。   狗说，没有啊，大家都叫我狼狗。   狼惊呆了：
"爆冷,让人浮想联翩的动物",1、鱼没有眼睑，害怕的时候只能眼睁睁看着这一切。   2、骆驼有长长的睫毛，想哭的时候能不能说眼睛进了沙。   3、乌鸦可以学人说话，尴
"爆冷动物,可爱更可笑",1、我是大海里自由徜徉的糖醋鱼，你是在天空恣意翱翔的麻辣翅根，那天午后，你飞到水面问我：“你我之间究竟是谁比较下饭？”   2、猎人
小鸟的幽默冷笑话。,1、众公鸟追母鸟引颈长鸣，一公鸟眼睛红红不语，母鸟心动。新婚，母鸟：你真酷，当时咋不叫？公鸟：那天喝多了……怕吐   2、小鸟穿着避
"被人贬损,郁闷的动物有话说",1、蛀书虫：书中自有颜如玉，书中自有黄金屋，做学问，得沉得下来，钻的进去。   2、白眼狼：指的是那种对不同意见喜欢翻白眼来表示不屑
动物的签名、感叹等幽默言语,1、刺猬最郁闷的事：谁给我一个拥抱。   2、猪最经典的一句话：脑残，我们更专业。   3、兔子最喜欢的诗句：种豆南山下，草盛豆苗稀。
能说的胜过会做的？,主人养了两只鸡，一只是笨鸡，一只是芦花鸡。   那天，主人决定要杀掉一只鸡给儿子过生日。他将鸡叫来，先问笨鸡：“你说说，你为什么要
"狗很生气,奋力辩解",1、痛打落水狗：俺还听说过墙倒众人推呢，你们这是趁狗之危，落井下石啊！鄙视你们。。。   2、良心让狗吃了：俺没吃过啊，少冤枉俺。
"爆冷有笑的动物,I孵了You",1、驴子为了吊在眼前的一根胡萝卜，拉磨累死了。   动物聚到一起评论此事，牛说：驴的身体太差，看我耕地都没事。   狗说：目光短浅的
幽默高冷的动物,1、孩子在森林里迷失了方向，遇到大笨熊。   孩子说：我是迷路的小孩，你能带我去找妈妈吗？   大笨熊点点头，领着孩子走了好远，来到
虎哥的开心冷幽默,1、小时侯，虎哥和虎弟在玩老虎、杠子、鸡的游戏。   虎哥说：“老虎！”   虎弟说：“鸡！”   老虎吃鸡，虎弟输了，气得直哭。
超搞笑的动物车尾标语。,1、鸭子：把我撵得呱呱叫，您和二郎神肯定有亲戚。   2、兔子：嘴巴都被刮成三瓣嘴了，您还想把我撞脱肛吗？   3、萤火虫：自带照明设备
猫和老鼠幽默笑话。,1、被猫赶进死胡同的老鼠急中生智，面对着猫突然摇摇晃晃，口中念道：“哎哟！疼死我啦！”   猫对老鼠的举动非常惊讶，便问：“怎么了？
国庆长假里，动物的那点小心思。,1、蚯蚓：过了大半年了，搞的都是小隧道工程，但愿国庆节后能像穿山甲大哥一样，接到一些大工程。   2、河马：我就纳闷儿了，流感来了人
"‘人言可畏’,动物表示很生气",1、狗说：“人说话没根据、胡言乱语却说放狗屁。”   2、猪说：“人长的难看却说长得跟猪一样。”   3、猫说：“人藏诡密却叫猫腻。”
很有冷笑果的搞笑动物,1、屎壳螂一家正在饿肚子，小屎壳螂问妈妈：“我听说人类有个本事叫‘画饼充饥’，我们也能吗？”   屎壳螂妈妈无奈地说：“那你就‘画杯
小动物们的经典对白,金龟子看到屎壳朗在草地上打滚，崇拜地说：“你一定是国脚吧”   螳螂见在夜空中到处乱飞的萤火虫，无奈地说：“这群追星族，真拿他们没
好有追求的小动物,1、看到最新的竖版地图，蜗牛道：“爸爸，我长大了，要当兵，为祖国巡逻边疆! ”   老蜗牛听了，点点头，问：“你说的是在地图上巡逻吗？
动物寓言看社会人生,1、狐狸钻进鸡舍里，一口气吃下了三只鸡，撑得不行了才住嘴。当它想从进来时的墙洞里溜出去时，被墙洞给卡住了。望着越来越近的巡夜狗，狐
动物的俏皮功夫了不得。,1、牛：身上真痒痒得难受，好久没人来吹牛皮了。   2、屎壳郎：思想有多圆，我就给它滚多圆。事业有多远，我就给它滚多远。   3、小白兔
小动物的求职与恋爱等冷笑话,1、鸭子去面试，面试官山羊看了看简历道：你各方面都符合我们的要求，可是我怀疑你能否适应我们这一行。   鸭子：你们具体做什么业务呀？
笑死人的动物冷幽默,1、大海里的两头鲨鱼在聊天，一头鲨鱼说：“等会儿有人潜水的话，咱们别咬他了。”   另一头鲨鱼问：“那我们该怎么做呢？”   “我们
动物委屈的心声,1、狐狸：逃脱了无数陷阱和猎枪，却逃脱不了这一身恶名。   2、鹦鹉：若非人类非要和我亲近，我怎么会说一口漂亮的人话呢？   3、野狼：
请吃饭和乌兔赛跑等动物寓言冷笑话,1、小羊请小狗吃饭，它准备了一桌鲜嫩的青草，结果，小狗勉强吃了两口，就再也吃不下去了。   过了几天，小狗请小羊吃饭，小狗想：我不能
